Date1,State,beds_icu_covid,icu_covid,icu_usage,vent_covid,vent,vent_usage,Date
2021-08-18,Perak,84,90,107.14,68,103,66.02,
2021-08-18,Perlis,11,9,81.82,3,19,15.79,
2021-08-18,Pulau Pinang,69,72,104.35,61,72,84.72,
2021-08-18,Sabah,123,159,129.27,64,118,54.24,
2021-08-18,Sarawak,120,39,32.5,15,148,10.14,
2021-08-18,Selangor,348,349,100.29,188,432,43.52,
2021-08-18,Terengganu,39,32,82.05,20,58,34.48,
2021-08-18,W.P. Kuala Lumpur,220,214,97.27,151,224,67.41,
2021-08-18,W.P. Labuan,18,0,0,0,11,0,
2021-08-18,W.P. Putrajaya,20,19,95,13,36,36.11,
2021-08-19,Johor,108,119,110.19,75,173,43.35,
2021-08-19,Kedah,101,139,137.62,51,102,50,
2021-08-19,Kelantan,64,68,106.25,46,122,37.7,
2021-08-19,Melaka,96,69,71.88,33,67,49.25,
2021-08-19,Negeri Sembilan,88,40,45.45,28,75,37.33,
2021-08-19,Pahang,61,41,67.21,24,58,41.38,
2021-08-19,Perak,90,92,102.22,67,103,65.05,
2021-08-19,Perlis,11,7,63.64,3,19,15.79,
2021-08-19,Pulau Pinang,69,71,102.9,61,72,84.72,
2021-08-19,Sabah,123,158,128.46,62,118,52.54,
2021-08-19,Sarawak,120,45,37.5,14,148,9.46,
2021-08-19,Selangor,348,350,100.57,179,432,41.44,
2021-08-19,Terengganu,39,30,76.92,16,58,27.59,
2021-08-19,W.P. Kuala Lumpur,220,209,95,175,224,78.13,
2021-08-19,W.P. Labuan,18,0,0,0,11,0,
2021-08-19,W.P. Putrajaya,20,19,95,16,36,44.44,
2021-08-20,Johor,108,119,110.19,89,173,51.45,
2021-08-20,Kedah,101,132,130.69,49,102,48.04,
2021-08-20,Kelantan,64,72,112.5,35,122,28.69,
2021-08-20,Melaka,96,73,76.04,31,67,46.27,
2021-08-20,Negeri Sembilan,88,42,47.73,28,75,37.33,
2021-08-20,Pahang,61,40,65.57,30,58,51.72,
2021-08-20,Perak,90,91,101.11,64,103,62.14,
2021-08-20,Perlis,11,7,63.64,2,19,10.53,
2021-08-20,Pulau Pinang,69,69,100,57,72,79.17,
2021-08-20,Sabah,123,150,121.95,66,118,55.93,
2021-08-20,Sarawak,120,48,40,16,148,10.81,
2021-08-20,Selangor,348,343,98.56,198,432,45.83,
