Month,Deaths per million,Species
June,3,person
July,5,person
August,10,person
June,2,person
June,1,person
August,9,person
July,4,person
July,3,person
July,2,person
July,1,person
August,8,person
August,7,person
August,6,person
August,5,person
August,4,person
August,3,person
August,2,person
August,1,person
